scientific_run_id,scenario,configuration,repetition,random_seed,total_intended_targets,pcpe_d,pcf_d,pcpe_m,pcf_m,pcpe_e,pcf_e,pcpe_e_lower,pcpe_e_upper,pcf_e_lower,pcf_e_upper,tE_status
RECON_20260908_PI_MAIN_S6A_C2_R02,S6A,C2,2,1520564872375698704,6,5,0.8333333333333334,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S1_C2_R02,S1,C2,2,3825172026798238350,10,5,0.5,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S6B_C3_R04,S6B,C3,4,3435945809897938263,6,5,0.8333333333333334,5,0.8333333333333334,5,0.8333333333333334,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S3P4_C2_R01,S3P4,C2,1,3562713171623886682,10,,,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S6B_C2_R02,S6B,C2,2,5715867056632763172,6,5,0.8333333333333334,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S1_C4_R02,S1,C4,2,3825172026798238350,10,5,0.5,7,0.7,,,6,7,0.6,0.7,INTERVAL_CENSORED_NFT
RECON_20260908_PI_MAIN_S1_C1_R02,S1,C1,2,3825172026798238350,10,,,,,,,,,,,NO_MITIGATION
RECON_20260908_PI_MAIN_S1_C3_R02,S1,C3,2,3825172026798238350,10,5,0.5,5,0.5,5,0.5,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S1_C4_R03,S1,C4,3,2385423419746871645,10,5,0.5,6,0.6,,,6,7,0.6,0.7,INTERVAL_CENSORED_NFT
RECON_20260908_PI_MAIN_S1_C1_R03,S1,C1,3,2385423419746871645,10,,,,,,,,,,,NO_MITIGATION
RECON_20260908_PI_MAIN_S1_C3_R03,S1,C3,3,2385423419746871645,10,5,0.5,5,0.5,5,0.5,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S6B_C2_R01,S6B,C2,1,8909916251273395171,6,5,0.8333333333333334,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S3P2_C2_R01,S3P2,C2,1,5540683211513550622,10,6,0.6,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S4_C2_R05,S4,C2,5,2842395541070670683,10,5,0.5,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S6B_C2_R04,S6B,C2,4,3435945809897938263,6,5,0.8333333333333334,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S3P4_C2_R05,S3P4,C2,5,6120257162643154288,10,,,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S3P3_C4_R05,S3P3,C4,5,7368726453738893228,10,6,0.6,6,0.6,,,6,7,0.6,0.7,INTERVAL_CENSORED_NFT
RECON_20260908_PI_MAIN_S3P3_C3_R05,S3P3,C3,5,7368726453738893228,10,6,0.6,6,0.6,6,0.6,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S3P3_C1_R05,S3P3,C1,5,7368726453738893228,10,,,,,,,,,,,NO_MITIGATION
RECON_20260908_PI_MAIN_S3P4_C2_R02,S3P4,C2,2,5011660846945255175,10,,,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S3P3_C2_R01,S3P3,C2,1,344322987200046027,10,6,0.6,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S4_C3_R03,S4,C3,3,6294456640517241219,10,5,0.5,5,0.5,5,0.5,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S3P4_C2_R04,S3P4,C2,4,8709403836172912600,10,,,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S4_C2_R02,S4,C2,2,7137591416795289606,10,5,0.5,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S3P2_C2_R04,S3P2,C2,4,6167905089799867762,10,6,0.6,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S3P3_C4_R02,S3P3,C4,2,6738418808919608595,10,6,0.6,6,0.6,,,6,7,0.6,0.7,INTERVAL_CENSORED_NFT
RECON_20260908_PI_MAIN_S3P3_C3_R02,S3P3,C3,2,6738418808919608595,10,6,0.6,6,0.6,6,0.6,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S3P3_C1_R02,S3P3,C1,2,6738418808919608595,10,,,,,,,,,,,NO_MITIGATION
RECON_20260908_PI_MAIN_S7L1_C3_R02,S7L1,C3,2,5602194519821542910,1024,241,0.2353515625,242,0.236328125,242,0.236328125,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S7L2_C3_R02,S7L2,C3,2,2248025667832000446,3686,143,0.03879544221378188,144,0.03906673901247965,144,0.03906673901247965,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S7L3_C3_R02,S7L3,C3,2,9037884517837639549,4608,69,0.014973958333333334,71,0.015407986111111112,71,0.015407986111111112,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S3P4_C2_R03,S3P4,C2,3,4718873165633766029,10,,,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S2_C2_R03,S2,C2,3,3609592068725696235,10,5,0.5,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S1_C2_R03,S1,C2,3,2385423419746871645,10,5,0.5,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S6A_C2_R03,S6A,C2,3,8800659305832244489,6,5,0.8333333333333334,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S5_C2_R03,S5,C2,3,5593754172359340609,10,5,0.5,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S6B_C2_R03,S6B,C2,3,8997384043255522875,6,5,0.8333333333333334,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S1_C1_R01,S1,C1,1,3635626954574171177,10,,,,,,,,,,,NO_MITIGATION
RECON_20260908_PI_MAIN_S1_C4_R01,S1,C4,1,3635626954574171177,10,5,0.5,6,0.6,,,6,7,0.6,0.7,INTERVAL_CENSORED_NFT
RECON_20260908_PI_MAIN_S1_C3_R01,S1,C3,1,3635626954574171177,10,5,0.5,5,0.5,5,0.5,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S4_C3_R01,S4,C3,1,4751335944893206463,10,5,0.5,5,0.5,5,0.5,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S3P3_C2_R05,S3P3,C2,5,7368726453738893228,10,6,0.6,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S3P2_C2_R03,S3P2,C2,3,6887204006008139200,10,6,0.6,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S3P3_C2_R03,S3P3,C2,3,7463260774621527860,10,6,0.6,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S6B_C3_R01,S6B,C3,1,8909916251273395171,6,5,0.8333333333333334,5,0.8333333333333334,5,0.8333333333333334,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S6B_C3_R05,S6B,C3,5,5261714730019291095,6,5,0.8333333333333334,5,0.8333333333333334,5,0.8333333333333334,,,,,EXACT_XDP
RECON_20260908_PI_MAIN_S3P3_C2_R04,S3P3,C2,4,1551295374371345389,10,6,0.6,,,,,,,,,ALERT_ONLY
RECON_20260908_PI_MAIN_S6B_C2_R05,S6B,C2,5,5261714730019291095,6,5,0.8333333333333334,,,,,,,,,ALERT_ONLY
